标题,作者,内容,朝代,体裁
書王秀才壁,李中,茅舍何寥落，門庭長綠蕪。貧來賣書劒，病起憶江湖。對枕暮山碧，伴吟涼月孤。前賢多晚達，莫歎有霜鬚。,唐,律诗
雨後月夜懷沈宗師承務,呂本中,雨雲攬江色，偃蹇破昏睡。千花閉紅紫，妙見一室內。披政當歛光，芒不必須緣。飾衣行夜永，明月在船背。微風過蕭瑟，古柳立蒼翠。翛然一蒲團，堅坐覓詩對。我生無南北，所到意趣遂。孰知十年游，保此清浄退。頗念城北人，結友老杉檜。漫随長鋏歸，甘作短檠棄。出門萬里塗，已駕安得稅。何當持被来，把酒相就醉。,唐,诗
首尾吟  其二二,邵雍,堯夫非是愛吟詩，詩是堯夫試筆時。以至死生猶處了，自餘榮辱可知之。適居堂上行堂上，或在水湄言水湄。不止省心兼省力，堯夫非是愛吟詩。,唐,律诗
赤城六章章四句  其五,釋居簡,伊我無酒，注彼觩兕。願公華衮，式昌厥嗣。,唐,其他
春草二首  其一,楊萬里,天欲遊人不踏塵，一年一換翠茸茵。東風猶自嫌蕭索，更遣飛花繡好春。,唐,绝句
无题,石孝友,平湖阁上，正雌霓将卷，雄风初发。醉倚危栏吟眺处，月在篷莱溟渤。蓬叶香浮，桂华光放，翻动蛟鼍窟。踏轮谁信，宓妃曾借尘袜。人世景物堪悲，等闲都换了，朱颜云发。遥想广寒秋到早，闲著几多空阔。太白诗魂，玉川风腋，自有飞仙骨。嫦娥为伴，夜深同驾霜月。,宋,词
稚女,呂南公,衣無羅綺且貧清，口有詩書亦性靈。論客鬚多如反寇，笑爺帽破似窮伶。園中果熟心先動，案上盃傳眼更青。釵擬荆枝裙擬布，暮年吾活正凋零。,唐,律诗
无题,张炎,波暖绿粼粼，燕飞来、好是苏堤才晓。鱼没浪痕圆，流红去、翻笑东风难扫。荒桥断浦，柳阴撑出扁舟小。回首池塘青欲遍，绝似梦中芳草。和云流出空山，甚年年净洗，花香不了。新渌乍生时，孤村路、犹忆那回曾到。馀情渺渺。茂林觞咏如今悄。前度刘郎归去后，溪上碧桃多少。,宋,词
王才臣求園中六詩楊秘監謝尚書皆賦 格齋,周必大,世事環無端，聖功井有汔。欲知至不至，密驗物交物。,唐,绝句
和宋二上元迎駕,張耒,拜揖清光咫尺間，彫輿欲動更移班。蓬萊不動鰲頭穩，閶闔未開天上閒。老去一官羞簡策，春來歸夢滿淮山。自慚衰病獨隨俗，醉逐遊人月下還。,唐,律诗
再和,葛勝仲,皚皚盈尺瑞，及此臘前臻。滉漾連三暮，縈盈遍九垠。青腰陰巧露，白帝羽儀新。坤軸埋藏厚，天潢瀉落勻。瑶林變園榭，縞带逐車輪。膏潤歸農畝，雕裁自化鈞。吟寒詩膽健，装冷嫵眉顰。點袖朝正日，侵鞾立仗晨。境同秋月淨，句鄙散鹽陳。白玉藏千室，黄雲卜萬囷。江臯迷宓女，姑射想神人。早晚晴光動，郊原探早春。,唐,诗
頌古七首  其二,釋慧性,外道懷藏寶鏡時，世尊良久爲高提。渾如良馬窺鞭影，不覺全身陷鐵圍。,唐,绝句
无题,张伯端,白虎首经至宝，华池神水真金。故知上善利源深。不比寻常药品。若要修成九转，先须炼己持心。依时采取定浮沈。进火须防危甚。,宋,词
以詩句詠梅 及早歸來带雪看,方蒙仲,南州雪易消，得春却差早。到處有梅花，不如在家好。,唐,绝句
无题,冯取洽,林叶润而密，莺语老犹娇。懒翁哪记生日，兀兀度昏朝。勘破富贫贵贱，参透死生寿夭，至竟本同条。胸次绝疑碍，物外自超遥。又何尝，贪七贵，慕三乔。溪山吾所自有，宜钓更堪樵。窃笑傍门小法，休觅驻颜大药，揠长只伤苗。造化大炉耳，愚智一齐销。,宋,词
无题,赵彦端,酴醿过也，酴醿过后，无花堪折。只有垂杨，垂杨却作，絮惊行色。海棠半在如无，又争倩、蔷薇恋得。除是东风，随君归问，玉堂消息。,宋,词
无题,富ノ,淡云收、晓来春满湘中。柳如烟、花枝如糁，万红千翠织浓。照帘旌、微穿丽日，动罗幕、轻转香风。天上良辰，人间淑景，生贤和气显殊锺。映时表、南山北斗，相并两穹崇。须知道、英明罕此，文武谁同。奉慈亲、承颜戏彩，更闻吉梦占熊。扫蛮氛、遂清三楚，定徐方、行策元功。趣召遄归，康时佐主，指挥谈笑虏巢空。寿觞举、器舟斟海，不用水精锺。休辞醉，千龄会遇，美事重重。,宋,词
无题,杨无咎,槐夏风清。霁天欲晓，武曲增明。元是今朝，曾生名将，力佐中兴。朝家息马休兵。享逸乐、嬉游太平。忧国胸襟，平戎材略，分付瑶觥。,宋,词
无题,张伯端,不辨五行四象，那分朱汞铅银。修丹火候未曾闻。早便称呼居隐。不背自思己错，更将错路教人。误他永劫在迷津。似恁欺心安忍。,宋,词
无题,李太古,月下秦淮海，花前晏小山。二仙仙去几时还。留得月魂花魄、在人间。河汉流旌节，天风袅珮环。满空香雾湿云鬟。何处一声横笛、杏花寒。,宋,词
題逍遙樓傷故韋大夫,熊孺登,利及生人無更爲，落花流水舊城池。逍遙樓上雕龍字，便是羊公墮淚碑。,唐,绝句
无题,杨缵,竹爆惊春，竞喧填、夜起千门箫鼓。流苏帐暖，翠鼎缓腾香雾。停杯未举。奈刚要、送年新句。应自有、歌字清圆，未夸上林莺语。从他岁穷日暮。纵闲愁、怎减刘郎风度。屠苏办了，迤逦柳欺梅妒。宫壶未晓，早骄马、绣车盈路。还又把、月夜花朝，自今细数。,宋,词
无题,吴则礼,夜寒闲倚西楼月。消尽江南雪。东风明日木兰船。想见阳关声彻、雁连天。斜斜洲渚溶溶水。端负青春醉。平安小字几时回。空有暗香疏影、陇头梅。,宋,词
无题,王迈,臞老今朝，载酒渡江，送孟吉州。遇舟之人士，来前问政，此公官去，莫也宜留。老子曰嘻，我游宦海，几度遭他风打头。君休问，但正因遇坎，行则乘流。江皋一叶惊秋。雁过也、严明白鹭洲。笑如今休顾，从前堕甑，无心相逐，等是虚舟。啄黍鸡肥，新篘酒熟，且作山中万户侯。林泉好，却输公一著，先我归休。,宋,词
再賦一首趁韻信筆初無定意也,綦崇禮,妍詞少勁氣，直表無曲陰。勸百豈救一，枉尺焉取尋。世路務爭險，人情難測深。漁樵各有侣，英俊自成林。藥苦病所利，酒多狂莫斟。珠投防按劍，玉折戒磨簪。願持松柏操，甘受雪霰侵。途窮但回步，何用涕沾襟。,唐,诗
别安廷老,楊傑,山色淺深煙靄裏，客情去住别離中。臨川聚會應不久，明日扁舟乘便風。,唐,绝句
无题,王重,烟雨江城，望中绿暗花枝少。惜春长待醉东风，却恨春归早。纵有幽情欢会，奈如今、风情渐老。凤楼何处，画阑愁倚，天涯芳草。,宋,词
奉和子華持國玉汝來飲西軒,梅堯臣,我誠官局冷，終日事靡括。每躭古人書，似與世俗闊。同道三四人，來過慰饑渴。迭相陳語言，曾未厭刀呾。自中將過晡，留飯具麄糲。薄酒繼以斟，不覺寒日沒。愚妻方罷沐，供飯愧倉卒。凍婢昧煎和，親調首忘髴。每食各驚顧，誰謂不黔突。倦僕暖吾薪，饑馬飽吾秣。馬無歸嘶聲，僕有顔色活。安穩不知疲，明釭仍爲撥。醉言實無次，曾未窮本末。諸君競相先，出口論莫奪。復云天地間，此能有幾達。我聞顔汗下，恐後謗難遏。其間常有言，但未見疵齾。終當輕有若，悔目已屢䀣。信哉羣玉林，豈得依朽枿。吾心爲之然，收舌如斷割。寄音謝豪俊，茲藴只圭撮。,唐,词
无题,李之仪,腊穷天际傍危栏。密雪舞初残。表里江山如画，分明不似人间。功名何在，文章漫与，空叹流年。独恨归来已晚，半生孤负渔竿。,宋,词
无题,无名氏,海棠花谢清明后。,宋,词
无题,葛长庚,晓雾须收霁。牡丹花、如人半醉，抬头不起。雪炼作冰冰作水。十朵未开三四。又加以、风禁雨制。□是东吴春色盛，尽移根、换叶分黄紫。所贵者，称姚魏。其间一种尤姝丽。似佳人、素罗裙在，碧罗衫底。中有一花边两蕊。恰似妆成小字。看不足、如何可比。白玉杯将青玉绿，据晴香、暖艳还如此。微笑道，有些是。,宋,词
无题,刘云甫,一点郎星光彻晓。许大乾坤，难著经纶手。拂袖归来应自笑。山翁偏爱林泉好。庭下儿孙歌寿酒。不献蟠桃，不数安期枣。且喜今朝云出岫。定知霖雨苍生早。,宋,词
剪綵,沈佺期,宮女憐芳樹，裁花競早榮。寒依刀尺盡，春向綺羅生。弱蔕盤絲發，香蕤結素成。纖枝幸不棄，長就玉階傾。,唐,律诗
无题,赵善括,鹊桥巧雾随风远。蟾宫皓影凝空满。一点寿星明。祥光彻太清。周公天子传。礼乐新封鲁。功业焕旗常。钧天侍玉皇。,宋,词
雲邊遣興,劉宰,穴處堪忘世，松餐足永年。有時雲雨止，獨立看青天。,唐,绝句
无题,李曾伯,江头雨过黄花，片帆催向春闱去。两年共我，风舟问峡，霜砧闻楚。定远从军，兹恩策第，岂堪同语。谩咨嗟人事，分明天意，广寒阙、待平步。健笔凌云如许。看新年、榜登龙虎。转头却笑，弓刀塞上，粗官何取。海阔鹏搏，途穷马老，不胜离绪。过旧游、人问征夫，烦为说、戌边苦。,宋,词
无题,仇远,一声啼鴂无芳草。南浦晴波云渺渺。蠹尘珠网满香车，三十六桥春悄悄。垂杨柳舞吹笙道。红粉台空灰蝶小。惜花心性不禁愁，莫放堕香随去鸟。,宋,词
无题,史浩,珠露漙漙清玉宇。霞标绰约消烦暑。时驭清风之帝所。寻旧侣。三千仙仗临烟渚。舴艋飘摇来复去。渔翁问我居何处。笑把红蕖呼鹤驭。回头语。壶中自有朝天路。,宋,词
无题,张鎡,烟淡波平。蓬松岸蓼，红浅红深。满院西风，连宵良月，几处清砧。区区宦海浮沈。幸隐去、将愁素心。两鬓吴霜，一屏秦梦，谁是知音。,宋,词
早發靈芝望九華寄杜員外使君,曹汾,戴月早辭三秀館，遲明初識久華峰。嵯嵯玉劒寒鋩利，褭褭青蓮翠葉重。奇狀却疑人畫出，嵐光如爲客添濃。行春若到五溪上，此處褰帷正面逢。,唐,律诗
无题,赵长卿,牡丹已过酴醿谢，飞尽繁花。浓翠啼鸦。绿水桥边卖酒家。年时携手寻春去，满引流霞。往事堪嚓。犹喜潘郎鬓未华。,宋,词
无题,李吕,家在宋墙东畔住，流莺时送芳音。窃香解佩两沈沈。都缘些子事，过却许多春。日上花梢初睡起，绣衣闲纵金针。错将黄晕压檀心。见人羞不语，偷把泪珠匀。,宋,词
无题,晁补之,雨过园亭绿暗时。樱桃红颗压枝低。绿兼红好眼中迷。荔子天教生处远，风流一种阿谁知。最红深处有黄鹂。,宋,词
无题,卢炳,庭院欲昏黄，秋思恼人情乱。宝瑟试弹新曲，更与谁同伴。阳台魂梦杳无踪，奴住巫山畔。不似楚襄云雨，俏输他一半。,宋,词
壽櫟堂前小山峰凌霄花盛開葱蒨如畫因名之曰凌霄峰  其二,范成大,山容花意各翔空，題作凌霄第一峰。門外輪蹄塵撲地，呼來借與一枝筇。,唐,绝句
无题,王沂孙,日衔山，山带雪。笛弄晚风残月。湘梦断，楚魂迷。金河秋雁飞。别离心，思忆泪。锦带已伤憔悴。蛩韵急，杵声寒。征衣不用宽。,宋,词
送杜子卿歸西淮,黄庭堅,雪意涔涔滿面風，杜郎馬上若征鴻。樽前談笑我方惜，天外淮山誰與同。行望酒帘沽白蟻，醉吟詩句入丹楓。一時真賞無人共，尚憶江南把釣翁。,唐,律诗
搖柳,孟郊,弱弱本易驚，看看勢難定。因風似醉舞，盡日不能正。時邀詠花女，笑輟春妝鏡。,唐,诗
過安仁市得風挂帆二首  其一,楊萬里,明發山溪一雨餘，昨來暑氣半分無。何人道是三衢遠，挂起東風十幅蒲。,唐,绝句
无题,周紫芝,香满箱奁，看沈犀弄水，浓麝含薰。荀郎一时旧事，尽属王孙。残膏剩馥，须倾囊、乞与兰荪。金兽暖，云窗雾阁，为人洗尽馀醺。依稀雪梅风味，似孤山尽处，马上烟村。从来甲煎浅俗，那忍重闻。苏台燕寝，下重帏、深闭孤云。都占得，横斜乱影，伴他月下黄昏。,宋,词
无题,王千秋,云破碧。作霜天气西风急。西风急。一行征雁，数声横笛。挑灯试问今何夕。柔肠底事愁如织。愁如织。紫苔庭院，悄无人迹。,宋,词
无题,周密,草梦初回，柳眠未起，新阴才试花讯。雏鸳迎晓偎香，小蝶舞晴弄影。飞梭庭院，早已觉、日迟人静。画帘轻、不隔春寒，旋减酒红香晕。吟欲就、远烟催暝。人欲醉、晚风吹醒。瘦肌羞怯金宽，笑靥暖融粉沁。珠歌缓引。更巧试、杏妆梅鬓。怕等闲、虚度芳期，老却翠娇红嫩。,宋,词
撥櫂歌 十二,德誠,靜在須禪動即禪，斷雲孤鶴兩蕭然。煙浦畔，月川前，槁木形骸在一船。,唐,词
故樞密簽書贈正議大夫王彥霖挽詞二首  其一,蘇轍,試吏有能名，升臺擅直聲。雄飛極九載，修路止三城。壯志方凌厲，遺書忽嘆驚。老人殊可念，白首泣新塋。,唐,律诗
无题,欧阳修,燕鸿过后春归去。细算浮生千万绪。来如春梦几多时，去似朝云无觅处。闻琴解珮神仙侣。挽断罗衣留不住。劝君莫作独醒人，烂醉花间应有数。,宋,词
无题,石孝友,芙蓉院宇，露下秋容瘦。龟鹤仙人献长寿。问蓬山别后，几度春归，归去晚，开得蟠桃厮勾。人间游戏好，鲸背风高，那更相将凤雏九。事苹蘩，工翰墨，才德兼全，人总道、古今稀有。尽从他、乌兔促年华，看绿鬓朱颜，镇长依旧。,宋,词
无题,李曾伯,春且驻。休惜残红无主。柳色青青还未絮。牡丹犹待雨。金鸭沈烟一缕。人在纱窗觅句。仿佛家山三月暮。隔帘闻燕语。,宋,词
无题,胡于,阿母蟠桃下记春。长沙星里寿星明。金花罗纸新裁诏，具叶傍行别绶经。同龙子，祝龟龄。天教二老鬓长青。明年今日称觞处，更有孙枝满谢庭。,宋,词
長田舖二首  其一,趙蕃,野驛人稀到，空庭草自生。霜清殊未覺，雨細更含晴。,唐,绝句
復賦河冰四絕  其四,蘇轍,輕紈破碎珮環流，顛倒鏘鳴亂觸舟。解紼投篙曾不顧，不知何處擁汀洲。,唐,绝句
夜坐瓶忽成韻作詩記之,李若水,虛堂夜坐燈微明，家無婢子誰學笙。徐而得之笑絕倒，數杴爐火圍短罌。君勢炎炎方得計，緣底不平爲此鳴。詩人耳冷教坊樂，蟲歌蛙吹聊娛情。天公有意慰酸冷，勺水便成鸞鳳聲。抽牽狂緒挽不斷，呼兒漉酒飛銀觥。須臾火盡竟何有，枕書酣卧衰顔頳。尚疑魂夢带餘想，齁齁鼻息旁人驚。,唐,诗
无题,张继先,草草开尊资一笑。微生病苦随缘了。友义交情如地厚。心相照。今人莫遣前人诮。灯火荧荧山悄悄。芝兰佳气松筠茂。得便盘桓尘世表。香初透。邻鸡且莫催清晓。,宋,词
无题,李之仪,堤长春晚。冉冉浑如云外见。欲语无门。略许莺声隔岸闻。锦屏绣幌。犹待归来留一饷。何事迟迟。直恐游丝惹住伊。,宋,词
无题,张孝祥,已是人间不系舟。此心元自不惊鸥。卧看骇浪与天浮。对月只应频举酒，临风何必更搔头。暝烟多处是神州。,宋,词
婕妤春怨,皇甫冉,花枝出建章，鳳管發昭陽。借問承恩者，雙蛾幾許長。,唐,绝句
續夢,仇遠,一夢續一夢，夢短寒夜長。顛倒無首尾，哀樂迷存亡。枕上忽自笑，歷歷見未嘗。至人本無夢，有夢其何傷。魚旐農夫喜，熊羆男子祥。吾年過不惑，夢覺久已忘。未來尚曖昧，既往恐思量。不知邯鄲道，幾番熟黄粱。,唐,诗
无题,柳富,人间最苦，最苦是分离。伊爱我，我怜伊。青草岸头人独立，画船东去橹声迟。楚天低，回望处，两依依。后会也知俱有愿，未知何日是佳期。心下事、乱如丝。好天良夜还虚过，辜负我、两心知。愿伊家，衷肠在，一双飞。,宋,词
題光福上方塔,顧在鎔,蒼島孤生白浪中，倚天高塔勢翻空。煙凝遠岫列寒翠，霜染疎林墮碎紅。汀沼或栖彭澤雁，樓臺深貯洞庭風。六時金磬落何處，偏傍蘆葦驚釣翁。,唐,律诗
聽蛙方君作八老詩效顰各賦一首內三題余四十年前已作遂不重說倡言別賦二題足成十老 老儒,劉克莊,向來歲月雪螢邊，老去生涯井臼前。舉孝廉科非復古，給靈壽杖定何年。空蟠萬卷終無用，專巧三場恐未然。猶記兒時聞緒論，白頭不敢負師傳。,唐,律诗
除夜張功父惠詩索荆溪集次韻送往,楊萬里,早往荆溪集，應無桂隠詩。梅邊五字律，管底一斑窺。新歲來朝是，流年去浪移。誰能守除夕，妨我夢歸時。,唐,律诗
鑑堂把酒,鄧深,池館媚春華，凭欄午更嘉。日光凝水面，波影炫簷牙。魚出衝浮梗，萍交載落花。半酣拏小艇，落調唱漁家。,唐,律诗
北堂,蘇轍,吾廬雖不華，粗有南北堂。通廊開十窗，爽氣來四方。風長日氣遠，六月有餘凉。兒女避不居，留此奉爺娘。爺娘髮如絲，不耐寒暑傷。單衣蕉葛輕，軟飯菘芥香。無客恣卧起，有客羅壺觴。今年得風痹，摩膏沃椒湯。念終捨此去，故山松柏蒼。此地亦何爲，歲時但烝嘗。,唐,诗
无题,魏了翁,骊驹未撤客乘鞍。征鞭摇晚寒。雁边酲梦角惊残。关山斜日边。求道地，托恩天。人情久亦安。转移都在笑颦间。鄙夫应也宽。,宋,词
復次韻四首  其一,袁說友,諸李辭章推李白，向來蜀道賦噫吁。房陵山險猶如許，石穴巴邛定不誣。,唐,绝句
甲寅西歸江行春懷十首  其一,汪莘,江行二月正清新，無主桃花不戀春。老去情懷甚年少，少年未解惜芳晨。,唐,绝句
朝賀,江萬里,四海衣冠拜九重，聖君在位像飛龍。遥瞻雉扇雙開處，萬歲齊呼瑞氣濃。,唐,绝句
无题,张抡,弱水茫茫三万里。遥望蓬莱，浮动烟霄外。若问蓬莱何处是。珠楼玉殿金鳌背。惟是飞仙能驭气。霞袖飘摇，来往如平地。除□飞仙谁得至。只缘山在波涛底。,宋,词
无题,陆游,锦里繁华。环宫故邸，叠萼奇花。俊客妖姬，争飞金勒，齐驻香车。何须幕障帏遮。宝杯浸、红云瑞霞。银烛光中，清歌声里，休恨天涯。,宋,词
无题,曾觌,摇扬杏花风，迟日淡阴双阙。丝管缓随檀板，看舞腰回雪。龙舟闲舣画桥边，须趁好花折。频劝御杯宜满，正清歌初阕。,宋,词
无题,王琪,江南燕，轻扬绣帘风。二月池塘新社过，六朝宫殿旧巢空。颉颃恣西东。王谢宅，曾入绮堂中。烟径掠花飞远远，晓窗惊梦语匆匆。偏占杏园红。,宋,词
无题,欧阳修,十一月新阳排寿宴。黄锺应管添宫线。猎猎寒威云不卷。风头转。时看雪霰吹人面。南至迎长知漏箭。书云纪候冰生妍。腊近探春春尚远。闲庭院。梅花落尽千千片。,宋,词
修身訣,呂巖,人命急如線，上下來往速如箭。認得是元神，子後午前須至煉。隨意出，隨意入，天地三才人得一。既得一，勿遺失，失了永求無一物。堪歎荒郊塚墓中，自古滅亡不知屈。,唐,词
白龍窟汎舟寄天台學道者,常建,夕映翠山深，餘暉在龍窟。扁舟滄浪意，澹澹花影沒。西浮入天色，南望對雲闕。因憶莓苔峰，初陽濯玄髮。泉蘿兩幽映，松鶴間清越。碧海瑩子神，玉膏澤人骨。忽然爲枯木，微興遂如兀。應寂中有天，明心外無物。環迴從所汎，夜靜猶不歇。澹然意無限，身與波上月。,唐,诗
秋景 把釣待秋風,劉辰翁,長夏如年日，蕭然把釣終。欲知臨水意，政自待秋風。豈是羊裘者，相從漁社中。何心思覓鱠，極目望來鴻。天下無知己，溪邊自老翁。六鰲閑入手，不是學任公。,唐,诗
无题,王质,白璧黄金爵上卿。紫宸殿下拜丝纶。才出龙门开虎帐，但看，甲光如水夜如尘。古古今今男子事，摇动，芙蓉旗影入金尊。到得关河公事了，早去，白云堆里养精神。,宋,词
无题,周邦彦,素肌应怯馀寒，艳阳占立青芜地。樊川照日，灵关遮路，残红敛避。传火楼台，妒花风雨，长门深闭。亚帘栊半湿，一枝在手，偏勾引、黄昏泪。别有风前月底。布繁英、满圆歌吹。朱铅退尽，潘妃却酒，昭君乍起。雪浪翻空，粉裳缟夜，不成春意。恨玉容不见，琼英谩好，与何人比。,宋,词
聽羅道士琴  其二,文天祥,吾聞泗濱磬，暗含角與徵。又聞天樂泉，凈洗箏笛耳。如何碧一泓，乃此并二美。藍田滄海意，請問玉溪子。,唐,律诗
无题,无名氏,春早皇都冰泮。宫沼东风布轻暖。梅粉飘香，柳带弄色，瑞霭祥烟凝浅。正值元宵，行乐同民总无闲。肆情怀，何惜相邀，是处里容款。,宋,词
无题,史达祖,暮草堆青云浸浦。记匆匆、倦篙曾驻。渔榔四起，沙鸥未落，怕愁沾诗句。碧袖一声歌，石城怨、西风随去。沧波荡晚，菰蒲弄秋，还重到、断魂处。酒易醒，思正苦。想空山、桂香悬树。三年梦冷，孤吟意短，屡烟钟津鼓。屐齿厌登临，移橙后、几番凉雨。潘郎渐老，风流顿减，闲居未赋。,宋,词
次韵張進彦見寄二首  其一,王之道,坐想雲烟走筆端，夜哦佳製老忘寒。一時思致追長慶，千載風流識建安。接武尚稽班玉筍，昂霄終合待金鑾。自憐衰退無新語，捧腹還君醉眼看。,唐,律诗
王興周以蘇養直詩見借今日偶携至直舍且誦且已自喜亦自笑也爲題三詩因效其體  其三,周紫芝,有樹移雲盡欲平，牙籖卷盡俗塵清。誰知吏案文書裏，時有滄江風雨聲。,唐,绝句
无题,蔡伸,水满青钱，烟滋翠葆。残英满地无人扫。先来羁思乱如云，无端更被春酲恼。叠叠遥山，绵绵远道。凭阑满目唯芳草。莫惊青鬓点秋霜，卢郎已分愁中老。,宋,词
无题,京镗,才近重阳，喜风露、酝成爽气。应料有、悲秋情绪，澹妆慵试。黄菊篱边开遍否，紫鸿塞外归来未。但倚阑、高处望长空，无穷意。名利鼎，从渠沸。穷达路，非人致。又何须咄咄，向空书字。西风正好狂吹帽，庾尘那解关吾事。纵嬉游、也不学山翁，如泥醉。,宋,词
奉和聖製夏日遊石淙山,楊敬述,山中別有神仙地，屈曲幽深碧澗垂。巖前暫駐黃金輦，席上還飛白玉巵。遠近風泉俱合雜，高低雲石共參差。林壑偏能留睿賞，長天莫遽下丹曦。,唐,律诗
送劉萱之道州謁崔大夫,劉長卿,沅水悠悠湘水春，臨岐南望一沾巾。信陵門下三千客，君到長沙見幾人。,唐,绝句
无题,宋祁,雨过蒲萄新涨绿。苍玉盘倾，堕碎珠千斛。姬监拥前红簇簇。温泉初试真妃浴。驿使南来丹荔熟。故翦轻绡，一色颁时服。娇汗易晞凝醉玉。青凉不用香绵扑。,宋,词
无题,洪皓,臂上萸囊悬已满。杯中菊蕊浮无限。纵使登高宁忍看。昏复旦。心肠似铁还须断。岁月川流难把玩。平生万事思量遍。但对割愁山似剑。聊自劝。东坡海岛犹三见。,宋,词
无题,罗椿,郎星锦帐，忽翩然归访，南溪孤鹜。前日登高谁信道，寿酒重浮茱萸。风露杯寒，芙蓉帐冷，笑受长生箓。广寒宫殿，桂华应已新续。不用翠倚红围，舞裙歌袖，共理称觞曲。只把文章千古事，留伴平生幽独。但使明年，鬓青长在，萱草春风绿。诸郎如许，转头百事都足。,宋,词
无题,史浩,一握钩儿能几何。弓弓珠蹙杏红罗。即时分惠谢奴哥。香压幽兰兰尚浅，样窥初月月仍多。只堪掌上恹琼波。,宋,词
寄題浮梁縣豐樂亭,金君卿,百流南瀉昌江潯，涵光吐潤生良金。從前良令固無幾，矧復惠政留于今。四十年來耆舊語，李謝劉楊遺愛深。高君氣象又宏遠，能以和易調羣心。政平訟簡日多暇，遠囂淩俗開胸襟。旋治東園敞軒闥，四睇環聳千高岑。已占溪山足清思，更添桃李成濃陰。斯亭不獨與民樂，樂得賢者同登臨。嗟予萬思走燕趙，弱羽歸飛思故林。空吟絕致未能往，徙倚南風聊寄音。,唐,诗
悼趙紫芝,釋居簡,不解俯華簪，峩峩獨苦心。反騷嫌少作，番襪動新吟。折玉蘭風急，摧金菊雨霪。中年兒女泪，消得幾沾衿。,唐,律诗
小桃源,無名氏,綽約去朝真，仙源萬木春。要知竊桃客，定是會稽人。,唐,绝句
